"Designator","Qty","Value","Footprint","MPN","Manufacturer","Rating","LCSC","DNP"
"TP3","1","JTAG_MTMS","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP4","1","JTAG_MTDO","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP5","1","+3V3","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP6","1","GND","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP7","1","SDA","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP8","1","SCL","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"TP9","1","EN","TestPoint:TestPoint_Pad_1.5x1.5mm","","","","",""
"U2","1","AP63203WU-7","Package_TO_SOT_SMD:TSOT-23-6","AP63203WU-7","Diodes Incorporated","2A sync buck, fixed 3.3V","C780769",""
"U3","1","ESP32-S3-WROOM-1-N8","wisp:ESP32-S3-WROOM-1","ESP32-S3-WROOM-1-N8","Espressif","8MB flash, no PSRAM","C2913198",""
"U4","1","SCD41-D-R2","Sensor:Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm","SCD41-D-R2","Sensirion","CO2/T/RH, I2C 0x62","",""
"U5","1","SGP41","wisp:Sensirion_DFN-6-1EP_2.44x2.44mm_P0.8mm_EP1.25x1.7mm","SGP41-D-R4","Sensirion","VOC/NOx, I2C 0x59","",""
"U6","1","BH1750FVI-TR","wisp:BH1750FVI-TR_WSOF6","BH1750FVI-TR","ROHM","lux, I2C 0x23","C78960",""
"U7","1","BME280","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","BME280","Bosch Sensortec","pressure/T/RH, I2C 0x76","C92489",""
"U8","1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","USBLC6-2SC6","STMicroelectronics","ESD array, D+/D-/VBUS","C7519",""
